route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
NE,5,42749,NorthEast Shuttle to Dominos Farm via VA,,0,3723,751,1,2
NE,5,42724,NorthEast Shuttle to Dominos Farm,,0,3719,752,1,2
NE,5,42748,NorthEast Shuttle to Dominos Farm via VA,,0,3720,751,1,2
NE,5,42723,NorthEast Shuttle to Dominos Farm,,0,3721,752,1,2
NE,5,42747,NorthEast Shuttle to Dominos Farm via VA,,0,3722,751,1,2
NE,5,42722,NorthEast Shuttle to Dominos Farm,,0,3723,750,1,2
NE,5,43414,NorthEast Shuttle to Dominos Farm via VA,,0,3724,749,1,2
NE,5,43415,NorthEast Shuttle to Dominos Farm,,0,3725,750,1,2
NE,5,43416,NorthEast Shuttle to Dominos Farm via VA,,0,3723,749,1,2
NE,5,43417,NorthEast Shuttle to Dominos Farm,,0,3724,750,1,2
NE,5,42776,NorthEast Shuttle to UM Hospital,,1,3719,753,1,2
NE,5,42773,NorthEast Shuttle to UM Hospital via VA,,1,3720,754,1,2
NE,5,42775,NorthEast Shuttle to UM Hospital,,1,3721,753,1,2
NE,5,42772,NorthEast Shuttle to UM Hospital via VA,,1,3722,754,1,2
NE,5,42774,NorthEast Shuttle to UM Hospital,,1,3723,753,1,2
NE,5,42821,NorthEast Shuttle to UM Hospital via VA,,1,3719,755,1,2
NE,5,42798,NorthEast Shuttle to UM Hospital,,1,3720,756,1,2
NE,5,42820,NorthEast Shuttle to UM Hospital via VA,,1,3721,755,1,2
NE,5,42797,NorthEast Shuttle to UM Hospital,,1,3722,756,1,2
NE,5,42819,NorthEast Shuttle to UM Hospital via VA,,1,3723,755,1,2
NE,5,42796,NorthEast Shuttle to UM Hospital,,1,3719,756,1,2
NE,5,42818,NorthEast Shuttle to UM Hospital via VA,,1,3720,755,1,2
NE,5,42795,NorthEast Shuttle to UM Hospital,,1,3721,756,1,2
NE,5,42817,NorthEast Shuttle to UM Hospital via VA,,1,3722,755,1,2
NE,5,42794,NorthEast Shuttle to UM Hospital,,1,3723,756,1,2
NE,5,42816,NorthEast Shuttle to UM Hospital via VA,,1,3719,755,1,2
NE,5,42793,NorthEast Shuttle to UM Hospital,,1,3720,756,1,2
NE,5,42815,NorthEast Shuttle to UM Hospital via VA,,1,3721,755,1,2
NE,5,42792,NorthEast Shuttle to UM Hospital,,1,3722,756,1,2
NE,5,42814,NorthEast Shuttle to UM Hospital via VA,,1,3723,755,1,2
NE,5,42791,NorthEast Shuttle to UM Hospital,,1,3719,756,1,2
NE,5,42813,NorthEast Shuttle to UM Hospital via VA,,1,3720,755,1,2
NE,5,42790,NorthEast Shuttle to UM Hospital,,1,3721,756,1,2
NE,5,42812,NorthEast Shuttle to UM Hospital via VA,,1,3722,755,1,2
NE,5,42789,NorthEast Shuttle to UM Hospital,,1,3723,756,1,2
NE,5,42811,NorthEast Shuttle to UM Hospital via VA,,1,3719,755,1,2
NE,5,42788,NorthEast Shuttle to UM Hospital,,1,3720,756,1,2
NE,5,42810,NorthEast Shuttle to UM Hospital via VA,,1,3721,755,1,2
NE,5,42787,NorthEast Shuttle to UM Hospital,,1,3722,756,1,2
NE,5,42809,NorthEast Shuttle to UM Hospital via VA,,1,3723,755,1,2
NE,5,42786,NorthEast Shuttle to UM Hospital,,1,3719,756,1,2
NE,5,42808,NorthEast Shuttle to UM Hospital via VA,,1,3720,755,1,2
NE,5,42785,NorthEast Shuttle to UM Hospital,,1,3721,756,1,2
NE,5,42807,NorthEast Shuttle to UM Hospital via VA,,1,3722,755,1,2
NE,5,42784,NorthEast Shuttle to UM Hospital,,1,3723,756,1,2
NE,5,42806,NorthEast Shuttle to UM Hospital via VA,,1,3719,755,1,2
NE,5,42783,NorthEast Shuttle to UM Hospital,,1,3720,756,1,2
NE,5,42805,NorthEast Shuttle to UM Hospital via VA,,1,3721,755,1,2
